54902     C 23TRI028PO  IGMn 54 10-04-24 24-04-24S08-05-24                     9.061e-03 01
54902     C 23TRI028PO  IGFe 59 10-04-24 24-04-24S08-05-24                     1.961e-02 01
54902     C 23TRI028PO  IGZn 65 10-04-24 24-04-24S08-05-24                     1.502e-02 01
54902     C 23TRI028PO  IGCo 60 10-04-24 24-04-24S08-05-24                     6.880e-03 01
54902     C 23TRI028PO  IG K 40 10-04-24 24-04-24S08-05-24                     1.942e-01 01
54902     C 23TRI028PO  IGSb124 10-04-24 24-04-24S08-05-24                     1.485e-02 01
54862     C 23TRI003PP  BT      01-04-24 05-04-24S20-04-24 3.152e-04 1.596e-05 2.232e-05 01
54890     C 23TRI003PP  BT      05-04-24 12-04-24S24-04-24 4.953e-04 1.116e-05 1.271e-05 01
54938     C 23TRI003PP  BT      12-04-24 19-04-24S28-04-24 6.243e-04 1.205e-05 1.297e-05 01
54954     C 23TRI003PP  BT      19-04-24 26-04-24S08-05-24 5.079e-04 1.113e-05 1.257e-05 01
54944     C 23TRI003 I  I I 131 12-04-24 19-04-24S03-05-24                     7.700e-05 01
